week,Load: Practice,Load: S&C,Load: Competition,Distance,High Speed Distance,Sprints,Sleep,Soreness
26,0.0,0.0,0.0,16015.6,0.0,0.0,45.5,0.0
9,631.0,97.0,0.0,25484.5,2761.7,153.0,63.0,32.8
12,0.0,0.0,0.0,0.0,0.0,0.0,53.0,49.333333333333336
3,0.0,0.0,0.0,0.0,0.0,0.0,63.166666666666664,33.666666666666664
1,382.0,0.0,0.0,6867.5,945.4,27.0,51.666666666666664,35.833333333333336
9,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,80.0,49.142857142857146
44,329.0,0.0,0.0,13348.0,0.0,42.0,52.0,26.333333333333332
3,290.0,224.0,0.0,42393.3,0.0,0.0,45.5,49.5
12,474.0,214.0,203.0,34747.4,5169.6,120.0,62.5,64.16666666666667
4,211.0,200.0,0.0,18916.5,21.4,3.0,61.0,63.0
4,0.0,0.0,0.0,0.0,0.0,0.0,57.4,50.0
47,87.0,0.0,0.0,3343.0,0.0,10.0,56.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,74.71428571428571,17.857142857142858
8,541.0,83.0,0.0,20209.5,1715.1999999999998,58.0,69.5,7.0
13,486.0,271.0,0.0,27678.7,5020.7,155.0,72.28571428571429,24.285714285714285
0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,27.0
11,0.0,0.0,0.0,5241.8,0.0,0.0,74.75,4.5
2,0.0,0.0,0.0,0.0,0.0,0.0,34.0,62.0
22,110.0,104.0,0.0,10453.2,534.3,40.0,33.75,7.714285714285714
15,359.0,100.0,0.0,14882.9,60.099999999999994,31.0,59.0,52.0
0,0.0,0.0,0.0,0.0,0.0,0.0,66.14285714285714,20.714285714285715
17,184.0,46.0,0.0,15759.1,980.0999999999999,32.0,91.0,0.0
0,0.0,55.0,0.0,21173.800000000003,0.0,0.0,74.0,24.8
7,328.0,149.0,0.0,18280.7,4353.7,105.0,72.42857142857143,7.714285714285714
16,205.0,12.0,0.0,8530.5,2154.7,22.0,87.5,24.571428571428573
16,238.0,112.0,457.0,41479.8,3538.1,66.0,48.857142857142854,24.571428571428573
8,327.0,275.0,0.0,21918.5,1260.6,84.0,58.25,47.0
12,0.0,0.0,0.0,0.0,0.0,0.0,59.166666666666664,41.142857142857146
1,318.0,0.0,0.0,14226.3,2083.6,23.0,49.25,52.75
47,0.0,0.0,0.0,0.0,0.0,0.0,51.666666666666664,2.6
7,389.0,274.0,0.0,18844.399999999998,2926.3999999999996,95.0,71.33333333333333,23.25
29,153.0,0.0,0.0,6478.9,553.8,16.0,51.0,43.833333333333336
35,982.0,0.0,0.0,32977.3,3086.0,120.0,66.0,59.0
17,0.0,0.0,0.0,0.0,0.0,0.0,58.0,22.0
17,353.0,175.0,0.0,18125.6,2509.3,85.0,77.85714285714286,18.714285714285715
30,0.0,0.0,0.0,12884.3,0.0,0.0,52.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,22.0
13,0.0,0.0,0.0,0.0,0.0,0.0,95.33333333333333,47.0
7,0.0,0.0,0.0,0.0,0.0,0.0,61.0,25.0
28,0.0,0.0,0.0,0.0,0.0,0.0,58.0,40.8
8,0.0,0.0,0.0,0.0,0.0,0.0,79.0,53.0
1,233.0,22.0,0.0,12875.5,518.2,18.0,48.0,33.714285714285715
24,447.0,15.0,0.0,20817.8,407.9,64.0,76.66666666666667,14.833333333333334
3,417.0,102.0,0.0,25766.1,482.90000000000003,18.0,58.57142857142857,23.428571428571427
22,0.0,0.0,0.0,0.0,0.0,0.0,42.0,51.0
24,0.0,0.0,0.0,2.8,0.0,0.0,60.0,15.0
14,0.0,0.0,0.0,0.0,0.0,0.0,81.66666666666667,14.428571428571429
45,275.0,0.0,128.0,40055.0,0.0,178.0,83.0,4.8
45,358.0,0.0,407.0,54245.0,0.0,159.0,53.4,33.8
15,0.0,0.0,0.0,0.0,0.0,0.0,66.0,67.0
27,0.0,0.0,0.0,20438.9,0.0,0.0,60.333333333333336,0.0
30,0.0,47.0,0.0,0.0,0.0,0.0,60.0,29.75
26,0.0,92.0,0.0,9646.9,0.0,0.0,66.33333333333333,32.666666666666664
12,466.0,127.0,219.0,35038.1,3898.7,67.0,47.5,56.857142857142854
1,0.0,0.0,0.0,0.0,0.0,0.0,69.0,26.571428571428573
7,370.0,107.0,0.0,15400.4,1374.8,82.0,45.333333333333336,42.666666666666664
1,0.0,0.0,0.0,0.0,0.0,0.0,64.85714285714286,21.428571428571427
25,0.0,0.0,0.0,0.0,0.0,0.0,55.5,35.5
